,phi_loss,phi_std,avg_pred_loss,avg_pred_std,before_loss,before_std,folder,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/learning_rate,config/alpha,config/phi_first_out,config/phi_second_out,config/discrim_hidden,config/dim_a,config/gamma,config/SN,logdir
180,2.668023908872299,0.6024276745591628,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_55_01_cmd_res_ex_100_256_a6_h100_e500,1719614766,,False,1,b383b20d,2024-06-28_18-46-06,3065.4643523693085,3065.4643523693085,2638101,CICSUNIX-US-003,172.31.105.37,3065.4643523693085,1,0.0012289899608096736,0.15439234006176614,100,256,100,6,20,6,b383b20d
181,5.02699149222971,1.2251098898351365,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_56_59_cmd_res_ex_100_256_a6_h100_e500,1719614900,,True,1,ff3b32e7,2024-06-28_18-48-20,3081.2563605308533,3081.2563605308533,2783208,CICSUNIX-US-003,172.31.105.37,3081.2563605308533,1,1.6875803171883636e-05,0.15529687129584954,100,256,100,6,20,6,ff3b32e7
182,2.5953798815421796,0.4915810876345109,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_58_50_cmd_res_ex_100_256_a6_h20_e500,1719615022,,False,1,e48d93ad,2024-06-28_18-50-22,3092.0238194465637,3092.0238194465637,2920158,CICSUNIX-US-003,172.31.105.37,3092.0238194465637,1,0.002231197833257868,0.12389640276158136,100,256,20,6,20,6,e48d93ad
183,2.6598673719143164,0.5362976957331208,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202417_59_35_cmd_res_ex_100_256_a6_h100_e500,1719615053,,False,1,206449b2,2024-06-28_18-50-53,3077.3200941085815,3077.3200941085815,2974092,CICSUNIX-US-003,172.31.105.37,3077.3200941085815,1,0.00234939553454537,0.15385861381453766,100,256,100,6,20,6,206449b2
184,2.644942911486619,0.5246150852599812,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202418_01_39_cmd_res_ex_100_256_a6_h100_e500,1719615164,,False,1,5a091677,2024-06-28_18-52-44,3065.064611196518,3065.064611196518,3127458,CICSUNIX-US-003,172.31.105.37,3065.064611196518,1,0.001179396404962075,0.12142561836345923,100,256,100,6,20,6,5a091677
185,2.673225329821917,0.5420186818692023,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202418_04_18_cmd_res_ex_100_256_a6_h100_e500,1719615307,,True,1,784e2e7f,2024-06-28_18-55-07,3049.2569420337677,3049.2569420337677,3322668,CICSUNIX-US-003,172.31.105.37,3049.2569420337677,1,0.001190103032052798,0.1545176638827538,100,256,100,6,20,6,784e2e7f
186,2.625215865808644,0.5122209222296283,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202418_06_49_cmd_res_ex_100_256_a6_h100_e500,1719615445,,False,1,de9e12a1,2024-06-28_18-57-25,3035.5516889095306,3035.5516889095306,3508391,CICSUNIX-US-003,172.31.105.37,3035.5516889095306,1,0.0021450538972035984,0.15406125549438107,100,256,100,6,20,6,de9e12a1
187,5.161065875937839,1.2230049900501943,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202418_08_52_cmd_res_ex_100_256_a6_h100_e500,1719615572,,True,1,7b5ace84,2024-06-28_18-59-32,3039.9565188884735,3039.9565188884735,3657430,CICSUNIX-US-003,172.31.105.37,3039.9565188884735,1,1.8617635032994107e-05,0.15563741740828402,100,256,100,6,20,6,7b5ace84
188,2.9159815028449003,0.6072055168622486,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202418_10_31_cmd_res_ex_100_256_a6_h100_e500,1719615649,,True,1,e3d53db1,2024-06-28_19-00-49,3017.5359587669373,3017.5359587669373,3781041,CICSUNIX-US-003,172.31.105.37,3017.5359587669373,1,0.0023007835769936046,0.15412448685190264,100,256,100,6,20,6,e3d53db1
189,5.661872522477169,1.4126025866200775,8.433405216387943,1.8057103413059725,8.69058937218443,1.9075824778021837,06_28_202418_12_32_cmd_res_ex_100_256_a6_h100_e500,1719615756,,True,1,6e53c437,2024-06-28_19-02-36,3003.328824520111,3003.328824520111,3928806,CICSUNIX-US-003,172.31.105.37,3003.328824520111,1,1.2845616159588634e-05,0.191076558518625,100,256,100,6,20,6,6e53c437
